Par_ref_offre|Par_cle|Par_nom|Code_rome|Code_OGR|Libelle_metier_OGR|Description|Off_experience_duree_min|Off_experience_duree_max|Exp_cle|Exp_libelle|Dur_cle_experience|Dur_libelle_experience|Off_experience_commentaire|Qua_cle|Qua_libelle|SCN_cle|SCN_libelle|Tfm_cle_1|Tfm_libelle_1|Dfm_cle_1|Dfm_libelle_1|Dfm_exi_cle_1|Dfm_exi_libelle_1|Tfm_cle_2|Tfm_libelle_2|Dfm_cle_2|Dfm_libelle_2|Dfm_exi_cle_2|Dfm_exi_libelle_2|Lan_cle_1|Lan_libelle_1|NVL_cle_1|NVL_libelle_1|"Lan_exi_cle_1 "|"Lan_exi_libelle_1 "|Lan_cle_2|Lan_libelle_2|NVL_cle_2|NVL_libelle_2|"Lan_exi_cle_2 "|"Lan_exi_libelle_2 "|Off_salaire_min|Off_salaire_max|TSA_cle|TSA_libelle|UMO_cle|UMO_libelle|Off_salaire_nb_mois|Off_salaire_cpt_commentaire|Off_travail_hebdo_nb_hh|Off_travail_hebdo_nb_mi|THO_cle|THO_libelle|Off_THO_commentaire|NTC_cle|NTC_libelle|TCO_cle|TCO_libelle|Off_contrat_duree_MO|Off_contrat_duree_JO|Off_adr_id|Off_adr_norme|Off_adr_compl_1|Off_adr_compl_2|Off_adr_no_voie|Off_adr_nom_voie|CPO_cle|COM_cle|COM_libelle|DEP_cle|DEP_libelle|REG_cle|REG_libelle|Pay_cle|Pay_libelle|CON_cle|CON_libelle|Coordonnee_geo_loc_1|Coordonnee_geo_loc_2|PCO_cle_1|PCO_libelle_1|PCO_exi_cle_1|PCO_exi_libelle_1|PCO_cle_2|PCO_libelle_2|PCO_exi_cle_2|PCO_exi_libelle_2|Off_date_creation|Off_date_modification|OST_poste_restant_nb|Off_client_final_siret|Off_client_final_nom|Off_etab_enseigne|Par_URL_offre|Col_cle|Col_nom|Col_URL_offre
668575|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Pour l&#39;année scolaire 2016-2017 - Petite fille de 3 ans- Hors vacances scolaires - Lundi- mardi - jeudi- vendredi (option) 17h20- 19h20 - Véhiculée (+ parlant anglais si possible)"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||51573||51||||01||||||||||||||31/08/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668575|||
668580|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Bonjour ! Nous cherchons quelqu&#39;un pour les sorties de crèche d&#39;Hugo, 18 mois, à Paris 10ème, du lundi au vendredi de 17h30 à 21h."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||75100||75||||01||||||||||||||31/08/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668580|||
668588|FEPEM|FEPEM|K2107|18173|"Professeur / Professeure en soutien scolaire"|"étant, étant en perpétuel déplacement pour affaire, je suis a la recherche d&#39;un particulier dans votre région d&#39;aumoins 18 ans sérieux et honnête cherchant un travail ou d&#39;un job supplémentaire, pour"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||77907||33||||01||||||||||||||31/08/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668588|||
668589|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Nous recherchons une garde à domicile à temps partiel afin de récupérer notre fille de 3 ans à l&#39;école et notre seconde fille de 5 mois à la crèche.Horaires prévus 16h15 à 18h15 du lundi au vendredi + mercredi après- midi."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||94033||94||||01||||||||||||||31/08/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668589|||
668590|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Jeune couple cherche femme de menage 2h par semaine. Horaires : n&#39;importe quel jour de la semaine, entre 9h et 15h."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||75100||75||||01||||||||||||||31/08/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668590|||
668599|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Je cherche à faire garder ma fille de 18 mois (lors de la prise de poste) ainsi que 2 ainés de 7 et 9 ans après l&#39;école. Quelques tâches ménagères en sus. Contrat 31h/hebdo."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||63||||01||||||||||||||01/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668599|||
668606|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Nous sommes à la recherche d&#39;une nounou pour s&#39;occuper de nos 2 petits bonhommes à notre domicile.Garde quotidienne de 12h à 18h30 du lundi au vendredi.Ainsi que 8h30 - 18h30 pendant les vacances scolaires."|5||||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||69069||69||||01||||||||||||||01/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668606|||
668607|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Nous recherchons une personne sérieuse pour s&#39;occuper de nos enfants de 7, 10 et 13 ans le lundi, mardi, jeudi et vendredi de 16h30 à 19h30 et le mercredi de 8h30 à 19h30, hors vacances scolaires."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||94080||94||||01||||||||||||||02/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668607|||
668611|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Je recherche un employé familial (H/F) pour garder mon enfant en sortie d&#39;école de 16h à 18h30 4 jours par semaine et le mercredi après midi à partir de 13h."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||60156||60||||01||||||||||||||02/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668611|||
668615|FEPEM|FEPEM|A1203|16067|"Jardinier / Jardinière"|"Recherche personne sérieuse et soignée pour entretenir un jardin (taille des arbustes et allées)."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||91657||91||||01||||||||||||||02/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668615|||
668622|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Je recherche une personne pour garder mes filles de 6 et 4 ans.Je souhaite une personne dynamique et fiable .    Horaire atypique + week end"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||17306||17||||01||||||||||||||02/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668622|||
668636|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Jeune homme de 19 ans, sérieux et ponctuel. Recherche un emploi dans le cadre d&#39;une année de transition avec les études. Titulaire d&#39;un BAC ES et d&#39;une expérience dans le cadre de plusieurs gardiennages d&#39;enfants à domicile."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||74281||74||||01||||||||||||||03/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668636|||
668643|FEPEM|FEPEM|I1203|38086|"Agent / Agente d'entretien travaux à domicile"|"recherche de chauffeur femme ou homme portant son permis B pour tout ceux qui seront disponible peuvent me contacter par ce e-mail francklegziel@gmail.com"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||75100||75||||01||||||||||||||03/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668643|||
668647|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"reherche nounou pour notre fille de  8 ans.experience exigée.périscolaire le lundi,mardi, jeudi et vendredi  .vehicule indispensable    .horaire variable entre 20 et 26h par semaine"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||33||||01||||||||||||||04/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668647|||
668657|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Personne motivée, sérieuse et véhiculée pour ménage et garde d&#39;enfants le jeudi apres midi (14h-18h) et peut etre le lundi"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||78601||78||||01||||||||||||||04/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668657|||
668665|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Bonjour!Je cherche une personne pour un service hebdomadaire - les vendredis.À faire: - le ménage (nettoyage du sol, dépoussiérage des surfaces accessibles, nettoyage des vitres de temps en temps)- entretien du linge (éntendre le linge)"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||33||||01||||||||||||||04/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668665|||
668668|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Bonjour, je suis aide soignante et je recherche une personne à domicile pour s&#39;occuper de mon petit garçon de 5 ans suivant mes horaires."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||02640||22||||01||||||||||||||05/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668668|||
668675|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"garde de 3 enfants1 enfant de moins de 1 an en journée2 enfants entre 3 et 5 ans en périscolaire et vacances scolairehoraire : 7h15 - 18h15tous les jours de la semaine sauf le mercreditrajet scolaire du soir a faire être véhiculée"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||71235||71||||01||||||||||||||05/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668675|||
668695|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"garde d&#39;enfant 14h30 par semaine et temps plein une semaine par période de vacances : trajets Ecole maison, aide aux devoirs, repas, jeux ... Langue anglaise ou espagnol souhaitée"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||63113||63||||01||||||||||||||05/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668695|||
668696|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Recherche employé(e) de maison pour réaliser du ménage et du repassage idéalement le mercredi et le vendredi.Ponctualité et le soucis du travail bien fait sont des qualités qui seront être appréciées."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||77||||01||||||||||||||05/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668696|||
668703|FEPEM|FEPEM|K1302|11255|"Assistant / Assistante de vie"|"personne (jh35ans) en fauteuil roulant électrique cherche aide aux transferts, aide à la douche. 1h/jour max, en soirée (à partir de 21h30, 22h) expérience professionnelle ou familiale nécessaire"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||57463||57||||01||||||||||||||06/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668703|||
668704|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Maman de 2 filles âgées de 9 et 5 ans, je recherche une personne pour les garder les mercredis matins de 7H45 à 12h15."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||14047||14||||01||||||||||||||06/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668704|||
668707|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"bonjour je recherche une Femme non fumeuse dynamique et souriante pour garder les enfants de ma sœur dans mon domicile enfants .(babysitting repassage, courses, cuisine.) merci a vous"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||59350||59||||01||||||||||||||06/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668707|||
668717|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Je recherche une personne pour garder mes enfants -11 mois et 4 ans- de 16h30 à 18h30/19h du lundi au vendredi."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||57140||57||||01||||||||||||||06/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668717|||
668720|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Le Champ-près-FrogesNous recherchons une aide à domicile pour du ménage (principalement) et s&#39;occuper des enfants,  les lundi, mardi, mercredi et jeudi soir de 19h à 20h30"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||38||||01||||||||||||||07/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668720|||
668722|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"recherche pour la garde de 2 enfants (4.5 ans et 6.5 ans)  pour le 15 septembre : 18 heures / semaine et  pendant les vacances scolaires"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||57463||57||||01||||||||||||||07/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668722|||
668734|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Bonjour,        je suis une maman travaillant en horaires atypiques. Je recherche une nounou pour s occuper de ma puce de 4 ans lors de mes déplacements, qui peuvent être samedis, dimanches et jours fériés ."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||95392||95||||01||||||||||||||07/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668734|||
668735|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Bonjourrecherche personne de confiance sérieuse Ét régulière dans son travail pour entretenir d&#39;un appartement  Chez une personne de 87ans secteur Lille Esquermes"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||59350||59||||01||||||||||||||19/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668735|||
668757|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Bonjour,je suis à la recherche d&#39;un poste de garde d&#39;enfants à domicile entre 8h30 et 18h du lundi au vendredi: Titulaire du diplôme d&#39;état d&#39;Auxiliaire de Puériculture."|5||||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||92007||92||||01||||||||||||||08/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668757|||
668761|FEPEM|FEPEM|K1302|11255|"Assistant / Assistante de vie"|"dame âgée de 88 ans vivant seule dans grande maison de 2 appartements et bénéficiant d&#39;une aide à la toilette à domicile recherche personne pour occuper appartement T4 contre services."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||74281||74||||01||||||||||||||09/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668761|||
668774|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Bonjour nous sommes a la recherche d&#39; une babby sitter pour garder notre petite fille de 3 ans  et demi le Lundi-Mardi et Mercredi soir de 18h45 a 22h toutes les semaines hors vacances scolaires."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||21231||21||||01||||||||||||||09/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668774|||
668775|FEPEM|FEPEM|K1303|11304|"Assistant maternel / Assistante maternelle"|"bonjour je suis a la recherche dune assistante materne pour mon fils de 18 moi du lundi au vendredi et ma fille de 2 an 1/2 il faut la recupere a lecole le midi et ramener a 13h30  plus le soir a 15h45 du lundi au vendredi"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||38076||38||||01||||||||||||||09/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668775|||
668787|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Recherche personne avec de bonnes jambes, (je suis en fauteuil) pour faire ménage et  aide entretien."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||44143||44||||01||||||||||||||10/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668787|||
668795|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"cherche garde d&#39;enfants à domicilea aller chercher a l école (à pied 10 minutes)de 16h30 à 19h"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||63282||63||||01||||||||||||||11/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668795|||
668802|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Je recherche une personne sérieuse et motivée pour réaliser 2h/semaine de ménage à mon domicile à Domène.          Paiement par CESU."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||38150||38||||01||||||||||||||11/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668802|||
668808|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"cherche aide à domicile, 12H/semaine, 3H/j LE MATIN entre 8h30/11h30, lun au vend (sauf merc), possib + si cela se passe bien; cuisine/ménage/repassage/courses; non fumeuse; voiture souhaitée"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||51454||51||||01||||||||||||||11/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668808|||
668809|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"BonjourJe recherche une baby sitter pour emmener et récupérer mon fils de 4 ans à l&#39;école.Je travail en milieu hospitalier donc les horaires varient Pour plus d&#39;informations n&#39;hésitez pas à me contacter."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||69300||69||||01||||||||||||||11/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668809|||
668810|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Bonjour je cherche une personne sérieuse pour repassage 1 fois par semaine."|5||||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||82104||16||||01||||||||||||||12/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668810|||
668815|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"Bonjour,Recherche personne a la retraite pour garder 3 enfants âgés de 8 ans , et deux de 6 ans. 2 soirs par semaine 18h à 20h et 2 samedi par mois 8h30 à 19h30 . Pas de formation exigée .."|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||77||||01||||||||||||||12/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668815|||
668829|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Cherche employée de maison de maison concernant: ménage ....de préférence les vendredi  de 14h a   16h   3 semaines par mois ou plus ."|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||40184||40||||01||||||||||||||13/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668829|||
668841|FEPEM|FEPEM|K1303|15196|"Garde d'enfants à domicile"|"s&#39;occuper de deux enfants 8 et 9 ans, conduites scolaires, repas, bain le soir et devoirs ainsi entretien de maison et linge des enfants pendant le temps de l&#39;ecole"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||59599||59||||01||||||||||||||13/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668841|||
668844|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Aucun diplômeMais expérience de 3mois avec les enfantsJ&#39;ai déjà fait les ménagère chez les particulier les personnes âgées"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||34074||34||||01||||||||||||||13/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668844|||
668846|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Particulier cherche personne soigneuse et compétente pour effectuer ménage et repassage à son domicile à Lons-le-Saunier (39000), plusieurs après-midi par semaine"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||39||||01||||||||||||||13/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668846|||
668849|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Cherchons personne de confiance pour 3 heures de ménage par semaine sur Couzon au Mont d&#39;Or idéalement le vendredi"|2|5|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||"non renseignée"||69||||01||||||||||||||14/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668849|||
668859|FEPEM|FEPEM|K1302|15207|Garde-malade|"Je recherche une Auxiliaire de Vie , aide à la personne en ( CDI )   ayant de l&#39;expérience auprès handicapées. Pour les actes essentiels : l&#39;habillage/le déshabillage, la toile"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||38348||38||||01||||||||||||||14/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668859|||
668863|FEPEM|FEPEM|K1302|11255|"Assistant / Assistante de vie"|"Cherche auxiliaire de vie SERIEUSE et MOTIVEE, pour un cdi.horaires: 17h30 - 18h30              22h - 23hdu lundi au vendredi.(inclus)et un week end sur 2 . 13h-14h17h30-18h30          22h-23n"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||31555||31||||01||||||||||||||14/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668863|||
668865|FEPEM|FEPEM|K1304|14771|"Employé / Employée de maison"|"Bonjour je suis une quelqu&#39;un de dynamique ponctuelle j ai travaille je suis sérieuses  et sincère"|0|2|||AN||||||||||||||||||||||||||||||||||||||||||||E1||CDI|||||||||||38151||38||||01||||||||||||||14/09/2016||||||http://www.particulieremploi.fr/compte/details_offre.php?id=668865|||
